f_timestamp,f_id,cluster_data,f_u_id
2023-03-24 21:00:09.437,5974,"[[2.826022, 6.2432265, 'cam_149']]",0
2023-03-24 21:00:09.516,1845,"[[7.842095, 7.5291257, 'cam_145']]",0
2023-03-24 21:00:09.516,5298,"[[-87.0672, 119.66711, 'cam_145']]",0
2023-03-24 21:00:09.572,7329,"[[2.5635986, 13.34444, 'cam_151'], [3.4099889, 13.280696, 'cam_151']]",0
2023-03-24 21:00:09.692,4178,"[[7.9179754, 7.4866786, 'cam_145']]",0
2023-03-24 21:00:09.692,5712,"[[-29.654057, 49.792927, 'cam_145']]",0
2023-03-24 21:00:09.759,6735,"[[2.585879, 13.339558, 'cam_151'], [3.4093692, 13.282846, 'cam_151']]",0
2023-03-24 21:00:09.833,4823,"[[-43.584373, 65.364365, 'cam_145']]",0
2023-03-24 21:00:09.833,6167,"[[7.919246, 7.492382, 'cam_145']]",0
2023-03-24 21:00:09.912,5370,"[[-49.006844, 71.44586, 'cam_145']]",0
2023-03-24 21:00:09.912,6977,"[[7.9527903, 7.462079, 'cam_145']]",0
2023-03-24 21:00:09.975,1492,"[[5.8816423, 4.413637, 'cam_133']]",0
2023-03-24 21:00:09.975,6808,"[[9.973147, -13.058091, 'cam_133']]",0
2023-03-24 21:00:09.975,4852,"[[2.8002644, 8.606457, 'cam_133']]",4
2023-03-24 21:00:09.975,4964,"[[8.65613, 4.0179396, 'cam_133']]",0
2023-03-24 21:00:10.077,1971,"[[-71.71434, 96.32695, 'cam_145']]",0
2023-03-24 21:00:10.077,3604,"[[8.013883, 7.4380364, 'cam_145']]",0
2023-03-24 21:00:10.147,4330,"[[-76.98374, 101.953415, 'cam_145']]",0
2023-03-24 21:00:10.147,5854,"[[8.043577, 7.431206, 'cam_145']]",0
2023-03-24 21:00:10.183,7081,"[[8.318371, 4.508416, 'cam_133']]",0
2023-03-24 21:00:10.183,4201,"[[2.7352684, 8.980871, 'cam_133']]",4
2023-03-24 21:00:10.183,8514,"[[5.9044414, 4.40531, 'cam_133']]",6
2023-03-24 21:00:10.183,7012,"[[9.983626, -13.604568, 'cam_133']]",0
2023-03-24 21:00:10.306,3747,"[[2.284304, 5.569394, 'cam_149']]",0
2023-03-24 21:00:10.306,3972,"[[2.0167947, 18.147465, 'cam_149']]",0
2023-03-24 21:00:10.306,9366,"[[3.3144367, 14.124946, 'cam_149']]",0
2023-03-24 21:00:10.399,2573,"[[2.114126, 11.148904, 'cam_142']]",0
2023-03-24 21:00:10.484,4624,"[[3.3003433, 14.077409, 'cam_149']]",0
2023-03-24 21:00:10.484,3540,"[[2.092902, 17.856503, 'cam_149']]",0
2023-03-24 21:00:10.484,6806,"[[2.2511616, 5.5073586, 'cam_149']]",0
2023-03-24 21:00:10.561,8541,"[[2.0650706, 11.175277, 'cam_142']]",0
2023-03-24 21:00:10.593,4492,"[[8.282946, 4.553039, 'cam_133']]",0
2023-03-24 21:00:10.593,2641,"[[2.7928643, 9.025872, 'cam_133']]",4
2023-03-24 21:00:10.593,5502,"[[10.265795, -15.073619, 'cam_133']]",0
2023-03-24 21:00:10.593,6741,"[[5.8550277, 4.686201, 'cam_133']]",6
2023-03-24 21:00:10.712,5332,"[[-32.519615, 45.880096, 'cam_145']]",0
2023-03-24 21:00:10.712,6078,"[[7.964039, 7.5769787, 'cam_145']]",0
2023-03-24 21:00:10.766,3043,"[[1.1987021, 20.485651, 'cam_140'], [1.5092167, 21.600832, 'cam_140']]",0
2023-03-24 21:00:10.878,7364,"[[3.1022298, 13.822497, 'cam_149']]",0
2023-03-24 21:00:10.878,8400,"[[1.8272904, 17.620945, 'cam_149']]",0
2023-03-24 21:00:10.878,6339,"[[2.0423074, 5.215581, 'cam_149']]",0
2023-03-24 21:00:10.946,4182,"[[1.9578264, 11.172442, 'cam_142']]",0
2023-03-24 21:00:10.978,8601,"[[8.133449, 4.8591375, 'cam_133']]",0
2023-03-24 21:00:10.978,1126,"[[2.8014336, 9.092845, 'cam_133']]",4
2023-03-24 21:00:10.978,1728,"[[5.6395936, 5.0516295, 'cam_133']]",6
2023-03-24 21:00:11.021,8759,"[[3.1327639, 13.421853, 'cam_151'], [2.49184, 13.420662, 'cam_151']]",0
2023-03-24 21:00:11.093,9348,"[[8.145243, 4.855736, 'cam_133']]",0
